1,4,0
2,13,0
3,12,0
4,7,0
5,9,0
6,14,2
7,4,0
8,11,0
9,8,0
10,11,0
11,8,0
12,5,0
13,7,0
14,2,0
15,2,0
16,8,0
17,2,0
18,8,0
19,8,0
20,7,0
21,11,0
22,12,0
23,5,0
24,13,0
25,4,0
26,11,0
27,7,0
28,5,0
29,2,0
30,12,0
31,6,0
32,4,0
33,1,0
34,6,0
35,1,0
36,14,2
37,9,0
38,6,0
39,6,0
40,4,0
41,5,0
42,13,0
43,3,0
44,12,0
45,1,0
46,13,0
47,10,0
48,6,0
49,13,0
50,10,0
51,4,0
52,9,0
53,1,0
54,5,0
55,8,0
56,6,0
57,12,0
58,3,0
59,4,0
60,4,0
61,16,0
62,15,0
63,10,0
64,10,0
65,3,0
66,9,0
67,6,0
68,5,0
69,15,0
70,12,0
71,7,0
72,14,2
73,14,2
74,8,0
75,13,0
76,7,0
77,13,0
78,5,0
79,10,0
80,4,0
81,13,0
82,8,0
83,4,0
84,5,0
85,3,0
86,6,0
87,5,0
88,11,0
89,4,0
90,10,0
91,15,0
92,9,0
93,5,0
94,1,0
95,15,0
96,6,0
97,6,0
98,4,0
99,3,0
100,5,0
